# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.3699023366727016,0.0,1.0723229532900251,0.9325548771775062,0.0,0.0
 0.15488945094459936,0.011995371006959722,0.07744472547229966,0.4999999999999999,0.3699023366727016,0.0,1.0723229532900251,0.9325548771775062,0.0,0.0
 0.21900810499162093,0.023982275026010424,0.1869487779681101,1.7078345471117558,1.1066378586628123,0.0,1.0660608681878547,0.9380327426330276,11.490190069333394,179.20198482187467
 0.26818506819295906,0.03596161540083104,0.2435965865922898,1.1519175836916722,1.8385813876501265,0.0,1.0596375240395628,0.9437189390837992,14.883870034646577,69.00954724306442
 0.30962639793662844,0.047934253149605685,0.2889057330647939,1.0933323508863892,2.5656815916078153,0.0,1.0530683287976979,0.9496059967369005,17.545291342123534,64.22142638614332
 0.3461242763189403,0.05990100732865507,0.3278753371277843,1.0677224482691146,3.2878943866141994,0.0,1.0463684426406623,0.9556863139682952,19.787802113900216,61.44222270364847
 0.3791112117217617,0.07186265542657119,0.36261774402035063,1.053217174263323,4.005182786549888,0.0,1.0395527447297026,0.9619521520863409,21.74462074686509,59.32101933899272
 0.409438478375132,0.08381993378707168,0.3942748450484469,1.0438494635842237,4.717516741956246,0.0,1.0326358035322718,0.9683956304627086,23.48823464864402,57.49327566205726
 0.4376609145418947,0.09577353805882381,0.4235496964585135,1.0372900212116793,5.4248729694002655,0.0,1.025631850453712,0.9750087222404675,25.063613334594613,55.82008146433161
 0.46416403064105566,0.1077241236704754,0.45091247259147493,1.0324361871481111,6.127234772605997,0.0,1.0185547568959115,0.9817832504631779,26.501102760062537,54.23850614733676
 0.48922858937140523,0.11967230632916748,0.47669631000622986,1.0286970415934118,6.824591856614589,0.0,1.011418014517367,0.9887108847642827,27.82243611431274,52.71719995015349
 0.5130665893250418,0.13161866254081547,0.5011475893482223,1.0257269649110126,7.51694013619227,0.0,1.0042347187287757,0.995783138493622,29.043891304818228,51.239835258039335
 0.5358427570668222,0.1435637301504866,0.5244546731959306,1.023310159634714,8.204281539627264,0.0,0.9970175550507292,1.0029913665352854,30.178097177170905,49.79792409379304
 0.5576881008256042,0.15550800890123453,0.546765428946214,1.0213048600489205,8.886623809018191,0.0,0.9897787884664038,1.0103267635684872,31.235135364561184,48.38734510485078
 0.578708840453972,0.16745196100979032,0.5681984706397883,1.019614060803554,9.563980298098738,0.0,0.9825302554152169,1.0177803629847515,32.22324718614768,47.00652018224065
 0.5989925070609272,0.1793960117575674,0.5888506737574495,1.0181691268076516,10.236369768567723,0.0,0.9752833583915921,1.02534303635527,33.14930596613265,45.655393471485155
 0.6186122373433608,0.19134055009547923,0.608802372202146,1.0169201185482204,10.903816185867173,0.0,0.9680490628240559,1.0330054936293567,34.0191433669729,44.334829700439606
 0.6376298758074632,0.20328592926112046,0.628121056575413,1.0158298260708252,11.566348515225641,0.0,0.9608378963637544,1.0407582837692526,34.8377812844145,43.04624462111053
 0.6560982661262352,0.2152324674069261,0.6468640709668501,1.0148699517350983,12.224000518793398,0.0,0.9536599499779248,1.0485917962929532,35.60960063202108,41.79137078460378
 0.6740629766393874,0.22718044823797567,0.6650806213828119,1.014018589535593,12.876810554573112,0.0,0.9465248811388407,1.0564962632538715,36.3384667569113,40.57210520351026
 0.691563622030794,0.2391301216581755,0.6828132993350916,1.0132585145109594,13.52482137780471,0.0,0.9394419186141687,1.0644617620162877,37.027824330969686,39.390408675835765
 0.7086348910738169,0.25108170442360017,0.7000992565523027,1.0125759938319214,14.168079945440153,0.0,0.9324198688446423,1.072478218679634,37.68077030561159,38.248238780394715
 0.7253073566452432,0.26303538080185496,0.7169711238595309,1.0119599428739419,14.806637224204277,0.0,0.9254671236441612,1.080535412281697,38.30011080415733,37.14750502212348
 0.741608121903165,0.27499130323636983,0.7334577392742035,1.0114013148346177,15.440548002760325,0.0,0.9185916692756396,1.0886229795536415,38.88840606719237,36.090039561127185
 0.757561341429983,0.2869495930145976,0.7495847316665737,1.0108926518098797,16.06987070839483,0.0,0.9118010965000516,1.0967304205253754,39.448006377433174,35.0775784975623
 0.7731886457251707,0.2989103409391617,0.7653749935775762,1.0104277495809078,16.694667228592177,0.0,0.9051026116189719,1.1048471048064745,39.98108108701434,34.11175078643124
 0.788509490115432,0.31087360800104924,0.7808490679202997,1.0100014038755947,17.315002737839425,0.0,0.8985030483490979,1.1129622785781215,40.489642309895316,33.19407272384048
 0.8035414439268352,0.3228394260540116,0.7960254670211353,1.0096092158906704,17.930945529912854,0.0,0.8920088804089801,1.121065072291104,40.97556444100926,32.32594626157751
 0.8183004319800827,0.33480779848939496,0.8109209379534587,1.0092474415307782,18.542566855909897,0.0,0.885626234561362,1.129144509246935,41.440600384690036,31.508660485598863
 0.8328009376924095,0.34677870091067814,0.8255506848362415,1.0089128733176684,19.149940768177384,0.0,0.879360904371192,1.1371895145998945,41.886395158698896,30.743394944487623
 0.847056175005005,0.3587520818070547,0.8399285563487082,1.0086027469891985,19.753143970321055,0.0,0.8732183640979064,1.1451889253761487,42.3144973960342,30.03122487179093
 0.861078234802683,0.3707278632254521,0.854067204903842,1.0083146669703333,20.352255673395195,0.0,0.8672037829360215,1.1531315011269683,42.726369143950656,29.37312733359358
